"claim_id","figure_panel","task","metric","representation","stratification","source_stage","source_file","denominator_fields","status","notes","source_run_id","source_table_key","caution_codes","support_decision"
"C2_F2a_internal_group_lincs","F2a","Task1_internal","mean_cosine_centroid|mean_pcc_centroid","Gene|Pathway","scope=internal;dataset_or_direction=LINCS;perturbation_type=Chemical|Genetic","s1_task1_internal_metrics","runs/s1_task1_internal_metrics_0303/s1_task1_internal_metrics/task1_leaderboard_long.csv","n_total|n_valid|n_excluded","extracted","Primary internal reference-frame evidence for common LINCS scope; use task1_attrition.csv for support-loss explanation; do not describe as a Task2 ceiling","s1_task1_internal_metrics_0303","scope=internal AND dataset_or_direction=LINCS AND metric_name IN {mean_cosine_centroid,mean_pcc_centroid}","GROUP_PRIMARY|NO_CEILING_LANGUAGE","main_text_candidate"
"C2_F2b_internal_retrieval_lincs","F2a","Task1_internal","mean_mrr_corrected|mean_hit1_corrected|mean_hit5_corrected|mean_hit10_corrected","Gene|Pathway","scope=internal;dataset_or_direction=LINCS;perturbation_type=Chemical|Genetic","s1_task1_internal_metrics","runs/s1_task1_internal_metrics_0303/s1_task1_internal_metrics/task1_retrieval_summary.csv","n_total|n_valid|n_excluded_missing_metric_or_mpos0|N_gallery_max","extracted","Supporting retrieval layer for internal LINCS calibration; validate corrected metrics against task1_chance_identity_check.csv","s1_task1_internal_metrics_0303","scope=internal AND dataset_or_direction=LINCS","RETRIEVAL_SUPPORT_ONLY|CHANCE_VALIDATED","main_text_candidate"
"C2_F2a_internal_group_scperturb_common_scope","F2a","Task1_internal","mean_cosine_centroid|mean_pcc_centroid","Gene|Pathway","scope=internal;dataset_or_direction=scPerturb;perturbation_type=Chemical|Genetic","s1_task1_internal_metrics","runs/s1_task1_internal_metrics_0303/s1_task1_internal_metrics/task1_leaderboard_long.csv","n_total|n_valid|n_excluded","extracted","Local common-scope scPerturb internal group rows exist in S1 outputs and should be indexed separately from the additional FM rows; useful for supplementary completeness or optional Figure 2 internal calibration support","s1_task1_internal_metrics_0303","scope=internal AND dataset_or_direction=scPerturb AND representation IN {Gene,Pathway} AND metric_name IN {mean_cosine_centroid,mean_pcc_centroid}","GROUP_PRIMARY|COMMON_SCOPE_EXISTS_LOCALLY|SUPPLEMENTARY_COMPLETENESS","supplementary_only"
"C2_F2a_internal_retrieval_scperturb_common_scope","F2a","Task1_internal","mean_mrr_corrected|mean_hit1_corrected|mean_hit5_corrected|mean_hit10_corrected","Gene|Pathway","scope=internal;dataset_or_direction=scPerturb;perturbation_type=Chemical|Genetic","s1_task1_internal_metrics","runs/s1_task1_internal_metrics_0303/s1_task1_internal_metrics/task1_retrieval_summary.csv","n_total|n_valid|n_excluded_missing_metric_or_mpos0|N_gallery_max","extracted","Local common-scope scPerturb internal retrieval rows exist in S1 outputs and should be indexed separately from the additional FM rows; retrieval remains supporting evidence only","s1_task1_internal_metrics_0303","scope=internal AND dataset_or_direction=scPerturb AND representation IN {Gene,Pathway}","RETRIEVAL_SUPPORT_ONLY|COMMON_SCOPE_EXISTS_LOCALLY|CHANCE_VALIDATED|SUPPLEMENTARY_COMPLETENESS","supplementary_only"
"C2_F2c_internal_group_scperturb_fm","F2a","Task1_internal","mean_cosine_centroid|mean_pcc_centroid","FM:*","scope=internal;dataset_or_direction=scPerturb;perturbation_type=Chemical|Genetic","s1_task1_internal_metrics","runs/s1_task1_internal_metrics_0303/s1_task1_internal_metrics/task1_leaderboard_long.csv","n_total|n_valid|n_excluded","extracted","Real internal Task1 evidence but materialized as scPerturb FM-only scope; keep outside the main common-scope calibration path","s1_task1_internal_metrics_0303","scope=internal AND dataset_or_direction=scPerturb AND metric_name IN {mean_cosine_centroid,mean_pcc_centroid}","GROUP_PRIMARY|SCOPE_ASYMMETRY","supplementary_only"
"C2_F2d_internal_retrieval_scperturb_fm","F2a","Task1_internal","mean_mrr_corrected|mean_hit1_corrected|mean_hit5_corrected|mean_hit10_corrected","FM:*","scope=internal;dataset_or_direction=scPerturb;perturbation_type=Chemical|Genetic","s1_task1_internal_metrics","runs/s1_task1_internal_metrics_0303/s1_task1_internal_metrics/task1_retrieval_summary.csv","n_total|n_valid|n_excluded_missing_metric_or_mpos0|N_gallery_max","extracted","Supporting retrieval evidence only; the FM-local slice should remain separate from the local common-scope scPerturb Gene/Pathway rows","s1_task1_internal_metrics_0303","scope=internal AND dataset_or_direction=scPerturb AND representation NOT IN {Gene,Pathway}","RETRIEVAL_SUPPORT_ONLY|FM_LOCAL_ONLY|CHANCE_VALIDATED","supplementary_only"
"C2_F2e_cross_group_genetic","F2b","Task1_cross","mean_cosine_centroid|mean_pcc_centroid","Gene|Pathway","scope=cross;dataset_or_direction=LINCS_to_scPerturb;perturbation_type=Genetic","s2_task1_cross_metrics","runs/s2_task1_cross_metrics_0303/s2_task1_cross_metrics/task1_cross_leaderboard_long.csv","n_total|n_valid|n_excluded|cross_alignment_contract","extracted","Primary supported cross-ecosystem calibration slice; group-level rows are genetic-only and materialized once because the group comparison is symmetric; confirm eligibility from task1_cross_alignment_proof.csv","s2_task1_cross_metrics_0303","scope=cross AND dataset_or_direction=LINCS_to_scPerturb AND perturbation_type=Genetic AND metric_name IN {mean_cosine_centroid,mean_pcc_centroid}","GROUP_PRIMARY|CROSS_GENETIC_ONLY|ALIGNMENT_CONTRACT_REQUIRED","main_text_candidate"
"C2_F2f_cross_retrieval_genetic","F2c","Task1_cross","mean_mrr_corrected|mean_hit1_corrected|mean_hit5_corrected|mean_hit10_corrected","Gene|Pathway","scope=cross;dataset_or_direction=LINCS_to_scPerturb|scPerturb_to_LINCS;perturbation_type=Genetic","s2_task1_cross_metrics","runs/s2_task1_cross_metrics_0303/s2_task1_cross_metrics/task1_cross_retrieval_summary.csv","n_total|n_valid|n_excluded_missing_metric_or_mpos0|N_gallery_max","extracted","Directional cross retrieval support only; keep both directions separate and validate correction against task1_cross_chance_identity_check.csv","s2_task1_cross_metrics_0303","scope=cross AND perturbation_type=Genetic","RETRIEVAL_SUPPORT_ONLY|RETRIEVAL_DIRECTION_SPECIFIC|CROSS_GENETIC_ONLY|CHANCE_VALIDATED","main_text_candidate"
"C2_F2g_cross_chemical_policy_exclusion","F2d","Task1_cross","n_matched_keys|eligibility_policy","ALL","scope=cross;perturbation_type=Chemical","s2_task1_cross_metrics|contract_policy","runs/s2_task1_cross_metrics_0303/s2_task1_cross_metrics/task1_cross_alignment_proof.csv | runs/s2_task1_cross_metrics_0303/s2_task1_cross_metrics/task1_cross_attrition.csv | docs/contracts/exclusions-and-policies.md","n_matched_keys|eligible_bool|reason","extracted","Use only to state that cross chemical is excluded by frozen policy/support gating; the materialized S2 tables support the exclusion gate but not a manuscript-safe numeric rationale","s2_task1_cross_metrics_0303","perturbation_type=Chemical","CROSS_CHEMICAL_POLICY_EXCLUSION|POLICY_NUMERIC_CONFLICT","main_text_candidate"
"C3_F3a_group_common_scope","F3a","Task2_group","mean_cosine_centroid|mean_pcc_centroid","Gene|Pathway","dataset;cell_line;no raw dataset pooling","s6_task2_result_synthesis_multisource","runs/s6_multisource_impl_verify_20260311_a/s6_task2_result_synthesis_multisource/task2_group_leaderboard.csv","n_targets_total|n_targets_cosine_valid|n_targets_pcc_valid|n_attrition_target_rows","extracted","Primary mechanism-concordance evidence in the common representation scope; resolve target-level ambiguity back to S4 task2_group_concordance.csv","s6_multisource_impl_verify_20260311_a","representation IN {Gene,Pathway}","GROUP_PRIMARY|NO_RAW_DATASET_POOLING","main_text_candidate"
