claim_id,figure_panel,source_stage,source_file,metric,representation,stratification,denominator_fields,denominator_values_available,caution_codes,scope_restrictions,support_decision,manuscript_role,notes
C2_F2a_internal_group_lincs,F2a,s1_task1_internal_metrics,runs/s1_task1_internal_metrics_0303/s1_task1_internal_metrics/task1_leaderboard_long.csv,mean_cosine_centroid|mean_pcc_centroid,Gene|Pathway,scope=internal;dataset_or_direction=LINCS;perturbation_type=Chemical|Genetic,n_total|n_valid|n_excluded,all_present,GROUP_PRIMARY|NO_CEILING_LANGUAGE,internal modality-preserving scope; common Gene/Pathway comparison only for retained main-text Task1 rows,main_text_candidate,primary_group_evidence,Primary internal reference-frame evidence for common LINCS scope; use task1_attrition.csv for support-loss explanation; do not describe as a Task2 ceiling
C2_F2b_internal_retrieval_lincs,F2a,s1_task1_internal_metrics,runs/s1_task1_internal_metrics_0303/s1_task1_internal_metrics/task1_retrieval_summary.csv,mean_mrr_corrected|mean_hit1_corrected|mean_hit5_corrected|mean_hit10_corrected,Gene|Pathway,scope=internal;dataset_or_direction=LINCS;perturbation_type=Chemical|Genetic,n_total|n_valid|n_excluded_missing_metric_or_mpos0|N_gallery_max,all_present,RETRIEVAL_SUPPORT_ONLY|CHANCE_VALIDATED,internal modality-preserving scope; common Gene/Pathway comparison only for retained main-text Task1 rows,main_text_candidate,supporting_retrieval_evidence,Supporting retrieval layer for internal LINCS calibration; validate corrected metrics against task1_chance_identity_check.csv
C2_F2e_cross_group_genetic,F2b,s2_task1_cross_metrics,runs/s2_task1_cross_metrics_0303/s2_task1_cross_metrics/task1_cross_leaderboard_long.csv,mean_cosine_centroid|mean_pcc_centroid,Gene|Pathway,scope=cross;dataset_or_direction=LINCS_to_scPerturb;perturbation_type=Genetic,n_total|n_valid|n_excluded|cross_alignment_contract,all_present,GROUP_PRIMARY|CROSS_GENETIC_ONLY|ALIGNMENT_CONTRACT_REQUIRED,genetic-only cross scope for retained metric rows; keep retrieval directions separate; cross alignment contract required,main_text_candidate,primary_group_evidence,Primary supported cross-ecosystem calibration slice; group-level rows are genetic-only and materialized once because the group comparison is symmetric; confirm eligibility from task1_cross_alignment_proof.csv
C2_F2f_cross_retrieval_genetic,F2c,s2_task1_cross_metrics,runs/s2_task1_cross_metrics_0303/s2_task1_cross_metrics/task1_cross_retrieval_summary.csv,mean_mrr_corrected|mean_hit1_corrected|mean_hit5_corrected|mean_hit10_corrected,Gene|Pathway,scope=cross;dataset_or_direction=LINCS_to_scPerturb|scPerturb_to_LINCS;perturbation_type=Genetic,n_total|n_valid|n_excluded_missing_metric_or_mpos0|N_gallery_max,all_present,RETRIEVAL_SUPPORT_ONLY|RETRIEVAL_DIRECTION_SPECIFIC|CROSS_GENETIC_ONLY|CHANCE_VALIDATED,genetic-only cross scope for retained metric rows; keep retrieval directions separate; cross alignment contract required,main_text_candidate,supporting_retrieval_evidence,Directional cross retrieval support only; keep both directions separate and validate correction against task1_cross_chance_identity_check.csv
C2_F2g_cross_chemical_policy_exclusion,F2d,s2_task1_cross_metrics|contract_policy,runs/s2_task1_cross_metrics_0303/s2_task1_cross_metrics/task1_cross_alignment_proof.csv | runs/s2_task1_cross_metrics_0303/s2_task1_cross_metrics/task1_cross_attrition.csv | docs/contracts/exclusions-and-policies.md,n_matched_keys|eligibility_policy,ALL,scope=cross;perturbation_type=Chemical,n_matched_keys|eligible_bool|reason,all_present,CROSS_CHEMICAL_POLICY_EXCLUSION|POLICY_NUMERIC_CONFLICT,cross chemical excluded by frozen policy/support gating; numeric rationale not manuscript-safe,main_text_candidate,policy_exclusion_note,Use only to state that cross chemical is excluded by frozen policy/support gating; the materialized S2 tables support the exclusion gate but not a manuscript-safe numeric rationale
C3_F3a_group_common_scope,F3a,s6_task2_result_synthesis_multisource,runs/s6_multisource_impl_verify_20260311_a/s6_task2_result_synthesis_multisource/task2_group_leaderboard.csv,mean_cosine_centroid|mean_pcc_centroid,Gene|Pathway,dataset;cell_line;no raw dataset pooling,n_targets_total|n_targets_cosine_valid|n_targets_pcc_valid|n_attrition_target_rows,all_present,GROUP_PRIMARY|NO_RAW_DATASET_POOLING,dataset/cell_line stratified; Gene/Pathway common scope only; no raw dataset pooling; edist remains informational-only,main_text_candidate,primary_group_evidence,Primary mechanism-concordance evidence in the common representation scope; resolve target-level ambiguity back to S4 task2_group_concordance.csv
C3_F3b_retrieval_c2g_common_scope,F3b,s6_task2_result_synthesis_multisource,runs/s6_multisource_impl_verify_20260311_a/s6_task2_result_synthesis_multisource/task2_retrieval_leaderboard.csv,mean_mrr_corrected|mean_hit1_corrected|mean_hit5_corrected|mean_hit10_corrected,Gene|Pathway,dataset;cell_line;direction=C2G,gallery_definition_id|pos_definition_id|n_total|n_valid|n_excluded_missing_metric_or_mpos0|N_gallery_mean|N_gallery_max|m_pos_mean|m_pos_p50|m_pos_p90,all_present,RETRIEVAL_SUPPORT_ONLY|RETRIEVAL_DIRECTION_SPECIFIC|NO_RAW_DATASET_POOLING,dataset/cell_line stratified; Gene/Pathway common scope only; keep directions separate; no raw dataset pooling,main_text_candidate,supporting_retrieval_evidence,Supporting retrieval evidence for chemical-to-genetic direction; keep direction-specific and resolve ambiguity back to S5 task2_retrieval_summary.csv
C3_F3c_retrieval_g2c_common_scope,F3b,s6_task2_result_synthesis_multisource,runs/s6_multisource_impl_verify_20260311_a/s6_task2_result_synthesis_multisource/task2_retrieval_leaderboard.csv,mean_mrr_corrected|mean_hit1_corrected|mean_hit5_corrected|mean_hit10_corrected,Gene|Pathway,dataset;cell_line;direction=G2C,gallery_definition_id|pos_definition_id|n_total|n_valid|n_excluded_missing_metric_or_mpos0|N_gallery_mean|N_gallery_max|m_pos_mean|m_pos_p50|m_pos_p90,all_present,RETRIEVAL_SUPPORT_ONLY|RETRIEVAL_DIRECTION_SPECIFIC|NO_RAW_DATASET_POOLING,dataset/cell_line stratified; Gene/Pathway common scope only; keep directions separate; no raw dataset pooling,main_text_candidate,supporting_retrieval_evidence,Supporting retrieval evidence for genetic-to-chemical direction; keep separate from C2G because the corrected contract is direction-specific
C4_F3e_fm_group_k562_local,F3e,s6_task2_result_synthesis_multisource,runs/s6_multisource_impl_verify_20260311_a/s6_task2_result_synthesis_multisource/task2_group_leaderboard.csv,mean_cosine_centroid|mean_pcc_centroid,scgpt|geneformer|scbert|scfoundation|uce|state|tahoe-x1,dataset=scPerturb;cell_line=K562,n_targets_total|n_targets_cosine_valid|n_targets_pcc_valid|n_invalid_rows_unique|n_attrition_target_rows,all_present,GROUP_PRIMARY|FM_LOCAL_SCOPE_ONLY|UCE_ATTRITION_PRESENT,scPerturb K562 local FM scope only; group-level evidence primary; no benchmark-wide FM generalization,main_text_candidate,primary_group_evidence,Main-text eligible only as a local scPerturb K562 FM comparison; pair with representation_availability_registry.csv for scope disclosure and carry the UCE attrition caution where applicable
C4_F3g_fm_scope_policy,F3e,task2_snapshot_v2,data/task2_snapshot_v2/representation_availability_registry.csv,scope_policy,scgpt|geneformer|scbert|scfoundation|uce|state|tahoe-x1,dataset=scPerturb;cell_line=K562 approved scope; LINCS FM rows are not_applicable_scope,availability_status|availability_reason,all_present,FM_LOCAL_SCOPE_ONLY|SCOPE_NOT_ATTRITION,scPerturb K562 FM scope only; LINCS FM absence is not_applicable_scope rather than attrition,main_text_candidate,scope_disclosure_note,Use whenever FM findings are discussed to state that supported FM evidence is local to scPerturb K562 and that LINCS FM absence is scope policy rather than attrition
