path,item_scope,item_type,classification,reference_scan_result,action_taken,git_action,final_repo_state,final_location,justification_or_blocker,commit
/home/lenislin/Experiment/projects/M2M/POST_MIGRATION_FINALIZATION_REPORT.md,repo_root,file,MOVE_TO_NAS_AND_REMOVE_LOCAL,"Referenced only by docs/progress_update.md and docs/governance/state.md before this pass; reference removed.",COPIED_TO_NAS_AND_REMOVED_LOCAL,UNTRACKED_NO_COMMIT,absent_from_repo_root,/mnt/NAS_21T/ProjectData/M2M/manifests/local_repo_housekeeping/2026-03-13_root_ops_final_cleanup/POST_MIGRATION_FINALIZATION_REPORT.md,"Historical post-migration ops report preserved in NAS manifests storage.",""
/home/lenislin/Experiment/projects/M2M/RUNS_ROOT_RECONCILIATION_REPORT.md,repo_root,file,MOVE_TO_NAS_AND_REMOVE_LOCAL,"Referenced only by docs/governance/state.md before this pass; reference removed.",COPIED_TO_NAS_AND_REMOVED_LOCAL,UNTRACKED_NO_COMMIT,absent_from_repo_root,/mnt/NAS_21T/ProjectData/M2M/manifests/local_repo_housekeeping/2026-03-13_root_ops_final_cleanup/RUNS_ROOT_RECONCILIATION_REPORT.md,"Historical runs-root reconciliation evidence preserved in NAS manifests storage.",""
/home/lenislin/Experiment/projects/M2M/STORAGE_MIGRATION_EXECUTION_REPORT.md,repo_root,file,MOVE_TO_NAS_AND_REMOVE_LOCAL,"Referenced only by docs/progress_update.md before this pass; reference removed.",COPIED_TO_NAS_AND_REMOVED_LOCAL,UNTRACKED_NO_COMMIT,absent_from_repo_root,/mnt/NAS_21T/ProjectData/M2M/manifests/local_repo_housekeeping/2026-03-13_root_ops_final_cleanup/STORAGE_MIGRATION_EXECUTION_REPORT.md,"Historical migration execution summary preserved in NAS manifests storage.",""
/home/lenislin/Experiment/projects/M2M/authoritative_active_results_verification.csv,repo_root,file,MOVE_TO_NAS_AND_REMOVE_LOCAL,"Referenced by docs/progress_update.md and docs/governance/state.md before this pass; reference removed.",COPIED_TO_NAS_AND_REMOVED_LOCAL,UNTRACKED_NO_COMMIT,absent_from_repo_root,/mnt/NAS_21T/ProjectData/M2M/manifests/local_repo_housekeeping/2026-03-13_root_ops_final_cleanup/authoritative_active_results_verification.csv,"Historical verification table preserved in NAS manifests storage.",""
/home/lenislin/Experiment/projects/M2M/path_normalization_decision.md,repo_root,file,MOVE_TO_NAS_AND_REMOVE_LOCAL,"Referenced only by docs/progress_update.md before this pass; reference removed.",COPIED_TO_NAS_AND_REMOVED_LOCAL,UNTRACKED_NO_COMMIT,absent_from_repo_root,/mnt/NAS_21T/ProjectData/M2M/manifests/local_repo_housekeeping/2026-03-13_root_ops_final_cleanup/path_normalization_decision.md,"Historical decision note preserved in NAS manifests storage rather than repo root.",""
/home/lenislin/Experiment/projects/M2M/runs_root_state.csv,repo_root,file,MOVE_TO_NAS_AND_REMOVE_LOCAL,"Not referenced by active docs after scan; companion evidence for runs reconciliation report.",COPIED_TO_NAS_AND_REMOVED_LOCAL,UNTRACKED_NO_COMMIT,absent_from_repo_root,/mnt/NAS_21T/ProjectData/M2M/manifests/local_repo_housekeeping/2026-03-13_root_ops_final_cleanup/runs_root_state.csv,"Machine-readable reconciliation evidence preserved in NAS manifests storage.",""
/home/lenislin/Experiment/projects/M2M/storage_migration_actions_executed.csv,repo_root,file,MOVE_TO_NAS_AND_REMOVE_LOCAL,"Referenced only by docs/progress_update.md before this pass; reference removed.",COPIED_TO_NAS_AND_REMOVED_LOCAL,UNTRACKED_NO_COMMIT,absent_from_repo_root,/mnt/NAS_21T/ProjectData/M2M/manifests/local_repo_housekeeping/2026-03-13_root_ops_final_cleanup/storage_migration_actions_executed.csv,"Historical migration action table preserved in NAS manifests storage.",""
/home/lenislin/Experiment/projects/M2M/storage_migration_verification.csv,repo_root,file,MOVE_TO_NAS_AND_REMOVE_LOCAL,"Referenced only by docs/progress_update.md before this pass; reference removed.",COPIED_TO_NAS_AND_REMOVED_LOCAL,UNTRACKED_NO_COMMIT,absent_from_repo_root,/mnt/NAS_21T/ProjectData/M2M/manifests/local_repo_housekeeping/2026-03-13_root_ops_final_cleanup/storage_migration_verification.csv,"Historical migration verification table preserved in NAS manifests storage.",""
/home/lenislin/Experiment/projects/M2M/repo_root_housekeeping_actions.csv,repo_root,file,MOVE_TO_NAS_AND_REMOVE_LOCAL,"No active doc/config references found.",COPIED_TO_NAS_AND_REMOVED_LOCAL,GIT_RM_AND_COMMIT,absent_from_repo_root,/mnt/NAS_21T/ProjectData/M2M/manifests/local_repo_housekeeping/2026-03-13_root_ops_final_cleanup/repo_root_housekeeping_actions.csv,"Previous housekeeping pass artifact should not remain as long-term repo-root content.",3fe570c
/home/lenislin/Experiment/projects/M2M/REPO_ROOT_HOUSEKEEPING_REPORT.md,repo_root,file,MOVE_TO_NAS_AND_REMOVE_LOCAL,"No active doc/config references found.",COPIED_TO_NAS_AND_REMOVED_LOCAL,GIT_RM_AND_COMMIT,absent_from_repo_root,/mnt/NAS_21T/ProjectData/M2M/manifests/local_repo_housekeeping/2026-03-13_root_ops_final_cleanup/REPO_ROOT_HOUSEKEEPING_REPORT.md,"Previous housekeeping narrative report preserved in NAS manifests storage instead of repo root.",7eefefc
