group,name,hex
section_band,task_design_fill,#D9ECF7
section_band,task_design_border,#6EA6D7
section_band,datasets_fill,#ECE8F3
section_band,datasets_border,#9C7AC7
section_band,methods_fill,#E6E7E8
section_band,methods_border,#8F8F8F
section_band,evaluation_fill,#F4E4E8
section_band,evaluation_border,#D47F92
auxiliary_count,context_count,#5E88C1
auxiliary_count,perturbation_count,#C76898
auxiliary_count,light_perturbation_pink,#F1A6B5
direction,C2G,#C76898
direction,G2C,#8F8F8F
perturbation,chemical,#C76898
perturbation,genetic,#5E88C1
status,significant,#111111
status,non_significant,#BDBDBD
status,underpowered,#D9D9D9
status,excluded,#F0F0F0
status,available,#E7F0E8
status,materialized,#D4E6F1
status,not_applicable_scope,#EAECEE
status,excluded_by_support_gate,#F6DDCC
status,historical_only,#F2F4F4
status,canonical,#D6EAF8
status,support_only,#FCF3CF
heatmap,low,#F7F7F7
heatmap,mid,#C9D9EE
heatmap,high,#5E88C1
